appt,LName,Fname,gender,DOB,debut,retire,DOD,died,ChiefJustice
53.00,Brown,Henry,1,03/02/1836,01/05/1891,05/28/1906,09/04/1913,1,0
54.00,Shiras,George,1,01/26/1832,10/10/1892,02/23/1903,08/02/1924,1,0
55.00,Jackson,Howell,1,04/08/1832,03/04/1893,08/08/1895,08/08/1895,1,0
56.00,White,Edward,1,11/03/1845,03/12/1894,05/19/1921,05/19/1921,1,1
57.00,Peckham,Rufus,1,11/08/1838,01/06/1896,10/24/1909,10/24/1909,1,0
58.00,McKenna,Joseph,1,08/10/1843,01/26/1898,01/05/1925,11/21/1926,1,0
59.00,Holmes,Oliver Wendell,1,03/08/1841,12/08/1902,01/12/1932,03/06/1935,1,0
60.00,Day,William,1,04/17/1849,03/02/1903,11/13/1922,07/09/1923,1,0
61.00,Moody,William,1,12/23/1853,12/17/1906,11/20/1910,07/02/1917,1,0
62.00,Lurton,Horace,1,02/26/1844,01/03/1910,07/12/1914,07/12/1914,1,0
63.00,Hughes,Charles Evans,1,04/11/1862,10/10/1910,06/10/1916,08/27/1948,1,0
64.00,Van Devanter,Willis,1,04/17/1859,01/03/1911,06/02/1937,02/08/1941,1,0
65.00,Lamar,Joseph,1,10/14/1857,01/03/1911,01/02/1916,01/02/1916,1,0
66.00,Pitney,Mahlon,1,02/05/1858,03/18/1912,12/31/1922,12/09/1924,1,0
67.00,McReynolds,James,1,02/03/1862,10/12/1914,01/31/1941,08/24/1946,1,0
68.00,Brandeis,Louis,1,11/13/1856,06/05/1916,02/13/1939,10/05/1941,1,0
69.00,Clarke,John,1,09/18/1857,10/09/1916,09/18/1922,03/22/1945,1,0
70.00,Taft,William Howard,1,09/15/1857,07/11/1921,02/03/1930,03/08/1930,1,1
71.00,Sutherland,George,1,03/25/1862,10/02/1922,01/17/1938,07/18/1942,1,0
72.00,Butler,Pierce,1,03/17/1866,01/02/1923,11/16/1939,11/16/1939,1,0
73.00,Sanford,Edward,1,07/23/1865,02/19/1923,03/08/1930,03/08/1930,1,0
74.00,Stone,Harlan Fiske,1,10/11/1872,03/02/1925,04/22/1946,04/22/1946,1,1
76.00,Roberts,Owen,1,05/02/1875,06/02/1930,07/31/1945,05/17/1955,1,0
77.00,Cardozo,Benjamin,1,05/24/1870,03/14/1932,07/09/1938,07/09/1938,1,0
78.00,Black,Hugo,1,02/27/1886,08/19/1937,09/17/1971,09/25/1971,1,0
79.00,Reed,Stanley,1,12/31/1884,01/31/1938,02/25/1957,04/02/1980,1,0
80.00,Frankfurter,Felix,1,11/15/1882,01/30/1939,08/28/1962,02/22/1965,1,0
81.00,Douglas,William,1,10/16/1898,04/17/1939,11/12/1975,01/19/1980,1,0
82.00,Murphy,Frank,1,04/13/1890,02/05/1940,07/19/1949,07/19/1949,1,0
83.00,Byrnes,James,1,05/02/1882,07/08/1941,10/03/1942,04/09/1972,1,0
84.00,Jackson,Robert,1,02/13/1892,07/11/1941,10/09/1954,10/09/1954,1,0
85.00,Rutledge,Wiley,1,07/20/1894,02/15/1943,09/10/1949,09/10/1949,1,0
86.00,Burton,Harold,1,06/22/1888,10/01/1945,10/13/1958,10/28/1964,1,0
87.00,Vinson,Fred,1,01/22/1890,06/24/1946,09/08/1953,09/08/1953,1,1
88.00,Clark,Tom,1,09/23/1899,08/24/1949,06/12/1967,06/13/1977,1,0
89.00,Minton,Sherman,1,10/20/1890,10/12/1949,10/15/1956,04/09/1965,1,0
90.00,Warren,Earl,1,03/19/1891,10/05/1953,06/23/1969,07/09/1974,1,1
91.00,Harlan II,John Marshall,1,05/20/1899,03/28/1955,09/23/1971,12/29/1971,1,0
92.00,Brennan,William,1,04/25/1906,10/16/1956,07/20/1990,07/24/1997,1,0
93.00,Whittaker,Charles,1,02/22/1901,03/25/1957,03/31/1962,11/26/1973,1,0
94.00,Stewart,Potter,1,01/23/1915,10/14/1958,07/03/1981,12/07/1985,1,0
95.00,White,Byron,1,06/08/1917,04/16/1962,06/28/1993,04/15/2002,1,0
96.00,Goldberg,Arthur,1,08/08/1908,10/01/1962,07/25/1965,01/19/1990,1,0
97.00,Fortas,Abe,1,06/19/1910,10/04/1965,05/14/1969,04/05/1982,1,0
98.00,Marshall,Thurgood,1,07/02/1908,10/02/1967,10/01/1991,01/24/1993,1,0
99.00,Burger,Warren,1,09/17/1907,06/23/1969,09/26/1986,06/25/1995,1,1
100.00,Blackmun,Harry,1,11/12/1908,06/09/1970,08/03/1994,03/04/1999,1,0
101.00,Powell Jr.,Lewis,1,09/19/1907,01/07/1972,06/26/1987,08/25/1998,1,0
102.00,Rehnquist,William,1,10/01/1924,01/07/1972,09/03/2005,09/03/2005,1,1
103.00,Stevens,John Paul,1,04/20/1920,12/19/1975,06/29/2010,99/99/9999,0,0
104.00,O'Connor,Sandra Day,0,03/26/1930,09/25/1981,01/31/2006,99/99/9999,0,0
105.00,Scalia,Antonin,1,03/11/1936,09/26/1986,99/99/9999,02/13/2016,1,0
106.00,Kennedy,Anthony,1,07/23/1936,02/18/1988,99/99/9999,99/99/9999,0,0
107.00,Souter,David,1,09/17/1939,10/08/1990,06/29/2009,99/99/9999,0,0
108.00,Thomas,Clarence,1,06/23/1948,10/23/1991,99/99/9999,99/99/9999,0,0
109.00,Ginsburg,Ruth Baden,0,03/15/1933,08/10/1993,99/99/9999,99/99/9999,0,0
110.00,Breyer,Stephen,1,08/15/1938,08/03/1994,99/99/9999,99/99/9999,0,0
111.00,Roberts,John,1,01/27/1955,09/29/2005,99/99/9999,99/99/9999,0,1
112.00,Alito,Samuel,1,04/01/1950,01/31/2006,99/99/9999,99/99/9999,0,0
113.00,Sotomayor,Sonia,0,06/25/1954,08/08/2009,99/99/9999,99/99/9999,0,0
114.00,Kagan,Elena,0,04/28/1960,08/07/2010,99/99/9999,99/99/9999,0,0
